Title,Course Start,Course End,Application Start Date,Application End Date,Capacity,Fee,Status,Age Eligibility,Location,Institution,Detail
2022년 직업교육_일반경비원 신임교육 8기,2022-07-19,2022-07-22,2022-06-21,2022-07-18,30,50000,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=198
취업준비교육 6기,2022-07-26,2022-07-26,2022-07-01,2022-07-26,25,무료,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=199
병원동행매니저 교육 2기,2022-07-20,2022-07-22,2022-07-07,2022-07-19,15,무료,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=200
온라인 입사지원 특강 2기,2022-08-17,2022-08-17,2022-07-15,2022-08-17,10,무료,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=201
2022년 직업교육_일반경비원 신임교육 10기,2022-08-23,2022-08-26,2022-07-19,2022-08-22,30,50000,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=202
기부플래너 양성과정 교육,2022-08-17,2022-08-19,2022-08-03,2022-08-16,15,무료,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=203
취업준비교육 7기,2022-08-23,2022-08-23,2022-08-04,2022-08-23,25,무료,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=204
2022년 직업교육_일반경비원 신임교육 11기,2022-09-27,2022-09-30,2022-08-23,2022-09-26,30,50000,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=207
병원동행매니저 교육 3기,2022-09-14,2022-09-16,2022-08-26,2022-09-13,15,무료,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=208
취업준비교육 8기,2022-09-27,2022-09-27,2022-08-29,2022-09-27,25,무료,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=209
